"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","Domain","Vocabulary","Ancestors"
"","36712834","12301000132103","Acute lymphoid leukemia relapse","Clinical Finding","Standard","01/31/2017","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4079686","277602003","Acute megakaryoblastic leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4082485","277601005","Acute monoblastic leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","10","10","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","44784490","698646006","Acute monoblastic leukemia in remission","Clinical Finding","Standard","01/31/2014","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","135768","413441006","Acute monocytic leukemia","Clinical Finding","Standard","01/31/2005","12/31/2099","26","26","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","140672","91858008","Acute monocytic leukemia in remission","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4189938","413442004","Acute monocytic/monoblastic leukemia","Clinical Finding","Standard","01/31/2005","12/31/2099","0","36","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","601116","351251000119103","Acute myelofibrosis in remission","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","44807009","815361000000107","Acute myeloid leukaemia with 11q23 abnormality","Clinical Finding","Standard","04/01/2012","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","35623630","766045006","Acute myeloid leukemia and myelodysplastic syndrome related to alkylating agent","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","35623633","766048008","Acute myeloid leukemia and myelodysplastic syndrome related to radiation","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","35623631","766046007","Acute myeloid leukemia and myelodysplastic syndrome related to topoisomerase type 2 inhibitor","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","36715587","721305008","Acute myeloid leukemia due to recurrent genetic abnormality","Clinical Finding","Standard","01/31/2017","12/31/2099","0","243","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","135762","91860005","Acute myeloid leukemia in remission","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","608277","1157157006","Acute myeloid leukemia with 11q23 abnormality","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","35622696","764855007","Acute myeloid leukemia with CEBPA somatic mutations","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","42539431","734522002","Acute myeloid leukemia with FMS-like tyrosine kinase-3 mutation","Clinical Finding","Standard","01/31/2018","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","3654662","838355002","Acute myeloid leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22) CBFB-MYH11","Clinical Finding","Standard","07/31/2020","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","36683269","780844005","Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1","Clinical Finding","Standard","01/31/2019","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4234749","359648001","Acute myeloid leukemia with maturation, FAB M2","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4138903","426124006","Acute myeloid leukemia with maturation, FAB M2, in remission","Clinical Finding","Standard","07/31/2007","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","40483761","445448008","Acute myeloid leukemia with myelodysplasia-related changes","Clinical Finding","Standard","07/31/2010","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","35622003","763309005","Acute myeloid leukemia with NPM1 somatic mutation","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","37116722","733598001","Acute myeloid leukemia with t(6;9)(p23;q34) translocation","Clinical Finding","Standard","07/31/2017","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","37110870","725390002","Acute myeloid leukemia with t(8;16)(p11;p13) translocation","Clinical Finding","Standard","07/31/2017","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","606958","1148906001","Acute myeloid leukemia with t(8;21)(q22;q22) RUNX1-RUNX1T1","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","40481524","444911000","Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL","Clinical Finding","Standard","07/31/2010","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4230253","359640008","Acute myeloid leukemia without maturation, FAB M1","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","764782","61321000119106","Acute myeloid leukemia without maturation, FAB M1 in remission","Clinical Finding","Standard","03/01/2016","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","140352","91861009","Acute myeloid leukemia, disease","Clinical Finding","Standard","01/31/2002","12/31/2099","6,710","7,508","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4233531","359631009","Acute myeloid leukemia, minimal differentiation, FAB M0","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","764781","61311000119104","Acute myeloid leukemia, minimal differentiation, FAB M0 in remission","Clinical Finding","Standard","03/01/2016","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4116880","285839005","Acute myelomonocytic leukemia - eosinophilic variant","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4003187","110005000","Acute myelomonocytic leukemia, FAB M4","Clinical Finding","Standard","01/31/2002","12/31/2099","15","15","Condition","SNOMED",""
"","4142105","427658007","Acute myelomonocytic leukemia, FAB M4, in remission","Clinical Finding","Standard","07/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4003184","109991003","Acute panmyelosis with myelofibrosis","Clinical Finding","Standard","01/31/2002","12/31/2099","442","442","Condition","SNOMED",""
"","4112803","285769009","Acute promyelocytic leukemia - hypogranular variant","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4002497","110004001","Acute promyelocytic leukemia, FAB M3","Clinical Finding","Standard","01/31/2002","12/31/2099","243","243","Condition","SNOMED",""
"","4137687","425869007","Acute promyelocytic leukemia, FAB M3, in remission","Clinical Finding","Standard","07/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4161912","433067002","Adamantinoma of femur","Clinical Finding","Standard","07/31/2008","12/31/2099","0","0","Condition","SNOMED",""
"","4144194","307609003","Adamantinoma of long bone","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","759810","101371000119101","Adamantinoma of long bone of lower limb","Clinical Finding","Standard","03/01/2016","12/31/2099","0","0","Condition","SNOMED",""
"","4311148","423595004","Adenocarcinoma carcinomatosis","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","37016272","29421000119105","Adenocarcinoma in adenomatous polyp","Clinical Finding","Standard","01/31/2016","12/31/2099","0","0","Condition","SNOMED",""
"","765158","29431000119108","Adenocarcinoma in villous adenoma","Clinical Finding","Standard","03/01/2016","12/31/2099","0","0","Condition","SNOMED",""
"","35622690","764845008","Adenocarcinoma of anal canal","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED",""
"","4309574","423607006","Adenocarcinoma of anus","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4184849","413445002","Adenocarcinoma of appendix","Clinical Finding","Standard","01/31/2005","12/31/2099","0","0","Condition","SNOMED",""
"","4111028","255110003","Adenocarcinoma of bladder","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","3655521","865954003","Adenocarcinoma of breast","Clinical Finding","Standard","07/31/2020","12/31/2099","0","0","Condition","SNOMED",""
"","4184850","413446001","Adenocarcinoma of cecum","Clinical Finding","Standard","01/31/2005","12/31/2099","0","0","Condition","SNOMED",""
"","4110872","254887002","Adenocarcinoma of cervix","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4256775","408644002","Adenocarcinoma of duodenum","Clinical Finding","Standard","01/31/2004","12/31/2099","0","0","Condition","SNOMED",""
"","4048226","123845008","Adenocarcinoma of endometrium","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4081043","276803003","Adenocarcinoma of esophagus","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","35623402","765741003","Adenocarcinoma of gallbladder and extrahepatic biliary tract","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED",""
"","40479582","441535001","Adenocarcinoma of head and neck","Clinical Finding","Standard","07/31/2009","12/31/2099","0","0","Condition","SNOMED",""
"","4119828","304545002","Adenocarcinoma of ileum","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4112975","254988008","Adenocarcinoma of lacrimal gland","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4256776","408645001","Adenocarcinoma of large intestine","Clinical Finding","Standard","01/31/2004","12/31/2099","0","12,216","Condition","SNOMED",""
"","42539251","15956341000119105","Adenocarcinoma of left lung","Clinical Finding","Standard","01/31/2018","12/31/2099","0","0","Condition","SNOMED",""
"","4252535","408646000","Adenocarcinoma of liver","Clinical Finding","Standard","01/31/2004","12/31/2099","0","3,507","Condition","SNOMED",""
"","37204022","787091002","Adenocarcinoma of liver and intrahepatic biliary tract","Clinical Finding","Standard","07/31/2019","12/31/2099","0","0","Condition","SNOMED",""
"","40493492","449153001","Adenocarcinoma of lower esophagus","Clinical Finding","Standard","07/31/2011","12/31/2099","0","0","Condition","SNOMED",""
"","4112738","254626006","Adenocarcinoma of lung","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","3654656","838349007","Adenocarcinoma of Meckel diverticulum","Clinical Finding","Standard","07/31/2020","12/31/2099","0","0","Condition","SNOMED",""
"","4307152","423106003","Adenocarcinoma of nasopharynx","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4114215","255017003","Adenocarcinoma of non-pigmented epithelium of ciliary body","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","45763891","700423003","Adenocarcinoma of pancreas","Clinical Finding","Standard","07/31/2014","12/31/2099","0","0","Condition","SNOMED",""
"","605820","1141626005","Adenocarcinoma of pancreas with NRG1 fusion","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED",""
"","4308015","423746001","Adenocarcinoma of pelvis","Clinical Finding","Standard","01/31/2007","12/31/2099","0","12,216","Condition","SNOMED",""
"","35622691","764846009","Adenocarcinoma of penis","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED",""
"","4112984","255016007","Adenocarcinoma of pigmented epithelium of ciliary body","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4161028","399490008","Adenocarcinoma of prostate","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","4322376","425178004","Adenocarcinoma of rectosigmoid junction","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4110575","254582000","Adenocarcinoma of rectum","Clinical Finding","Standard","01/31/2002","12/31/2099","12,216","12,216","Condition","SNOMED",""
"","36712981","15956381000119100","Adenocarcinoma of right lung","Clinical Finding","Standard","01/31/2017","12/31/2099","0","0","Condition","SNOMED",""
"","40486583","447800002","Adenocarcinoma of scrotum","Clinical Finding","Standard","07/31/2011","12/31/2099","0","0","Condition","SNOMED",""
"","4200514","301756000","Adenocarcinoma of sigmoid colon","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4313335","424440001","Adenocarcinoma of small intestine","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4248802","408647009","Adenocarcinoma of stomach","Clinical Finding","Standard","01/31/2004","12/31/2099","0","0","Condition","SNOMED",""
"","4202789","309245001","Adenocarcinoma of uterus","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","35621807","763063001","Adenoid basal carcinoma of cervix uteri","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED",""
"","35621808","763064007","Adenoid cystic carcinoma of cervix uteri","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED",""
"","4114201","254987003","Adenoid cystic carcinoma of lacrimal gland","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4308627","423318000","Adenoid cystic carcinoma of oropharynx","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4313754","423615009","Adenoid cystic carcinoma of parotid gland","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4309400","422833009","Adenoid cystic carcinoma of salivary gland","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4307266","423189008","Adenoid cystic carcinoma of submandibular gland","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4112736","254619006","Adenoid cystic carcinoma of trachea","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4111932","254711000","Adenoid cystic eccrine carcinoma","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","605230","1010656004","Adenoid squamous cell carcinoma of nasopharynx","Clinical Finding","Standard","01/31/2021","12/31/2099","0","0","Condition","SNOMED",""
"","4294181","385478001","Adenoma malignum","Clinical Finding","Standard","01/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","35622692","764847000","Adenosarcoma of cervix uteri","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED",""
"","35623401","765740002","Adenosarcoma of corpus uteri","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED",""
"","40492386","447390000","Adenosarcoma of uterus","Clinical Finding","Standard","01/31/2011","12/31/2099","0","0","Condition","SNOMED",""
"","4116081","254888007","Adenosquamous carcinoma of cervix","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4298029","403902008","Adenosquamous cell carcinoma","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","4298238","404067008","Adipocytic liposarcoma","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","606404","1144945000","Adnexal carcinoma of vulva","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED",""
"","4116230","255035007","Adrenal carcinoma","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4085559","281562007","Adrenal neuroblastoma","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4094550","188729005","Adult T-cell leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","50","50","Condition","SNOMED",""
"","4003188","110007008","Adult T-cell leukemia/lymphoma","Clinical Finding","Standard","01/31/2002","12/31/2099","18","18","Condition","SNOMED",""
"","604486","898197001","Adult T-cell leukemia/lymphoma in remission","Clinical Finding","Standard","01/31/2021","12/31/2099","0","0","Condition","SNOMED",""
"","36715966","721762007","Adult T-cell leukemia/lymphoma of skin","Clinical Finding","Standard","01/31/2017","12/31/2099","0","0","Condition","SNOMED",""
"","4345328","240531002","African Burkitt's lymphoma","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4215390","397008008","Aggressive lymphadenopathic mastocytosis with eosinophilia","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","36717161","721310007","Aggressive natural killer-cell leukemia","Clinical Finding","Standard","01/31/2017","12/31/2099","0","0","Condition","SNOMED",""
"","4297355","404136008","Aggressive NK-cell leukemia involving skin","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","37396742","716655008","Aggressive systemic mastocytosis","Clinical Finding","Standard","07/31/2016","12/31/2099","0","0","Condition","SNOMED",""
"","4121332","302856006","Aleukemic leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4138466","426217000","Aleukemic leukemia in remission","Clinical Finding","Standard","07/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","4094549","188728002","Aleukemic lymphoid leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4142254","426248008","Aleukemic lymphoid leukemia in remission","Clinical Finding","Standard","07/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","36674687","770402000","Aleukemic mast cell leukemia","Clinical Finding","Standard","01/31/2019","12/31/2099","0","0","Condition","SNOMED",""
"","4094553","188748009","Aleukemic monocytic leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4097585","188741003","Aleukemic myeloid leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","760988","127961000119108","Aleukemic myeloid leukemia in relapse","Clinical Finding","Standard","09/01/2017","12/31/2099","0","0","Condition","SNOMED",""
"","37396219","715950008","ALK-positive large B-cell lymphoma","Clinical Finding","Standard","07/31/2016","12/31/2099","0","0","Condition","SNOMED",""
"","4003835","109982002","Alpha heavy chain disease (clinical)","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4049263","123313007","Alpha heavy chain disease, enteric form","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4095025","25050002","Alpha heavy chain disease, respiratory form","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4298235","404053004","Alveolar rhabdomyosarcoma","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","4301648","404056007","Alveolar soft part sarcoma","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","4080901","276751004","Amelanotic malignant melanoma of skin","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4079553","277461004","Anaplastic astrocytoma of brain","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","37018609","82501000119102","Anaplastic astrocytoma of central nervous system","Clinical Finding","Standard","01/31/2016","12/31/2099","0","0","Condition","SNOMED",""
"","4158253","370987005","Anaplastic astrocytoma of spinal cord","Clinical Finding","Standard","07/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","607961","1156409003","Anaplastic ependymoma of central nervous system","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED",""
"","603173","1157071000","Anaplastic ganglioglioma","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED",""
"","607979","1156459007","Anaplastic ganglioglioma of central nervous system","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED",""
"","4314458","424151006","Anaplastic glioma of brain","Clinical Finding","Standard","01/31/2007","12/31/2099","0","0","Condition","SNOMED",""
"","40488896","448212009","Anaplastic large cell lymphoma, ALK negative","Clinical Finding","Standard","07/31/2011","12/31/2099","28","28","Condition","SNOMED",""
"","4299149","404134006","Anaplastic large T-cell systemic malignant lymphoma","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","3654297","830055006","Anaplastic lymphoma kinase fusion oncogene negative non-small cell lung cancer","Clinical Finding","Standard","07/31/2020","12/31/2099","0","0","Condition","SNOMED",""
"","3654352","830151004","Anaplastic lymphoma kinase fusion oncogene positive non-small cell lung cancer","Clinical Finding","Standard","07/31/2020","12/31/2099","0","0","Condition","SNOMED",""
"","607962","1156410008","Anaplastic oligoastrocytoma of central nervous system","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED",""
"","607958","1156406005","Anaplastic oligodendroglioma of central nervous system","Clinical Finding","Standard","07/31/2021","12/31/2099","0","0","Condition","SNOMED",""
"","4112985","255031003","Anaplastic thyroid carcinoma","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED",""
"","4299150","404135007","Angiocentric NK/T-cell malignant lymphoma involving skin","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED",""
"","4184976","413537009","Angioimmunoblastic T-cell lymphoma","Clinical Finding","Standard","01/31/2005","12/31/2099","69","69","Condition","SNOMED",""
"","35610166","1090241000000107","Angioimmunoblastic T-cell lymphoma with dysproteinaemia","Clinical Finding","Standard","04/01/2018","12/31/2099","0","0","Condition","SNOMED",""
